m,n,R,s,seed,ker_dim,s_val,decomp_error,w
4,41,98,0,0,0,0.0032603667065663725,,
2,100,99,0,0,0,2.2897838458451812e-05,,
3,58,99,0,0,0,0.00041136856121056414,,
5,32,99,0,0,0,0.0005814396550832657,,
11,14,99,0,0,0,0.003578803036142766,,
2,101,100,0,0,0,8.098369174339457e-05,,
3,59,100,0,0,0,0.0030188342511168836,,
12,13,100,0,0,0,0.005191057619612083,,
2,102,101,0,0,0,0.00013412838256920265,,
4,42,101,0,0,0,0.0008339580525461606,,
2,103,102,0,0,0,8.281779766517565e-05,,
6,27,102,0,0,0,0.0008435852214330729,,
5,33,102,0,0,0,0.0014535835173169365,,
3,60,102,0,0,0,0.0021889485666013943,,
7,23,102,0,0,0,0.003189059468302654,,
8,20,102,0,0,0,0.004063314041746788,,
2,104,103,0,0,0,9.241786133316776e-06,,
10,16,103,0,0,0,0.002424135261201889,,
4,43,103,0,0,0,0.002815711316100831,,
2,105,104,0,0,0,4.245757270358638e-05,,
3,61,104,0,0,0,0.0011380870046727883,,
9,18,104,0,0,0,0.0026660507460958805,,
2,106,105,0,0,0,7.332533187909973e-06,,
5,34,105,0,0,0,0.002180752440454114,,
6,28,105,0,0,0,0.005071057439357919,,
2,107,106,0,0,0,6.958597197083043e-05,,
3,62,106,0,0,0,0.0001102704215536438,,
4,44,106,0,0,0,0.0003497754422125989,,
11,15,106,0,0,0,0.005590882237006222,,
2,108,107,0,0,0,4.175428705710349e-05,,
7,24,107,0,0,0,0.0008106120946037444,,
3,63,107,0,0,0,0.0026428161688412063,,
8,21,107,0,0,0,0.0055524581183845345,,
2,109,108,0,0,0,0.00015795931750275968,,
4,45,108,0,0,0,0.002416808147279073,,
5,35,108,0,0,0,0.0029103651001931366,,
2,110,109,0,0,0,1.1277214056908731e-05,,
12,14,109,0,0,0,0.0004983870573745916,,
3,64,109,0,0,0,0.001711270734492474,,
13,13,109,0,0,0,0.004455217304501209,,
6,29,109,0,0,0,0.004238618725569306,,
2,111,110,0,0,0,1.2261771508607516e-06,,
10,17,110,0,0,0,0.0007797163443873425,,
9,19,110,0,0,0,0.0027002193580470536,,
