m,n,R,s,seed,ker_dim,s_val,decomp_error,w
3,6,9,5,0,5,0.025727406331319872,4.371405199688144e-13,1.1102230246251565e-16
3,6,9,6,0,6,0.008964869131277782,2.3545127010123384e-14,1.1102230246251565e-16
3,6,9,7,0,7,0.01169950930658545,4.6243625869797344e-14,2.220446049250313e-16
3,6,9,8,0,8,0.023220551017721344,7.452398877788851e-14,3.3306690738754696e-16
3,6,9,9,0,9,0.013461058951411765,1.371099363430006e-13,2.220446049250313e-16
3,6,10,10,0,10,0.0005088122847681224,6.772871008080526e-13,1.1102230246251565e-16
2,10,9,0,0,0,0.011505802876086466,,
2,10,9,1,0,1,0.003582070963291085,3.314469562853107e-15,1.1102230246251565e-16
2,10,9,2,0,2,0.006226017821131493,6.775516441233153e-14,0.0
2,10,9,3,0,3,0.0041069624189201655,1.370829636617731e-14,0.0
2,10,9,4,0,4,0.0040273455657157215,2.779638404552627e-14,3.3306690738754696e-16
2,10,9,5,0,5,0.002552928850081045,4.446344662574628e-14,0.0
2,10,9,6,0,6,0.007671285408989109,1.5246032846000495e-14,0.0
2,10,9,7,0,7,0.0020851404277062446,5.296473529960513e-14,3.3306690738754696e-16
2,10,9,8,0,8,0.007853315067220583,6.107197637078156e-14,1.1102230246251565e-16
2,10,9,9,0,9,0.0010185079788424516,2.0592760419380474e-13,2.220446049250313e-16
2,10,10,10,0,10,0.00031036896617865726,1.991893516565379e-12,1.1102230246251565e-16
2,11,10,0,0,0,0.0004253796719603217,,
2,11,10,1,0,1,0.0017164237228036313,6.219646796678926e-15,0.0
2,11,10,2,0,2,0.014964181374032857,3.100329831004086e-15,0.0
2,11,10,3,0,3,0.002152805918810765,2.1566812489703134e-14,0.0
2,11,10,4,0,4,0.016027643900794083,2.31810732546341e-14,1.1102230246251565e-16
2,11,10,5,0,5,0.012711723269420138,1.2010447391463579e-13,0.0
2,11,10,6,0,6,0.005798221284224087,2.4966332148473396e-14,3.3306690738754696e-16
2,11,10,7,0,7,0.0009980750670015425,1.3796748492632798e-12,2.220446049250313e-16
2,11,10,8,0,8,0.0036799547093458256,4.0101724761983896e-14,3.3306690738754696e-16
2,11,10,9,0,9,0.0012702592276630552,2.8431005267192086e-13,3.3306690738754696e-16
2,11,10,10,0,10,0.0007821593013465079,2.080584958662185e-13,3.3306690738754696e-16
2,11,11,11,0,11,0.0002706516730542549,4.734057024872658e-13,1.1102230246251565e-16
4,5,10,0,0,0,0.014592137244097416,,
4,5,10,1,0,1,0.019046718997435885,2.26005664795221e-15,0.0
4,5,10,2,0,2,0.024885197041048353,5.585741335314572e-15,0.0
4,5,10,3,0,3,0.02936996302513093,5.08933902660233e-15,0.0
4,5,10,4,0,4,0.043315806308086825,3.274309387214206e-13,0.0
4,5,10,5,0,5,0.026046610375394547,2.0356726040802988e-14,2.220446049250313e-16
4,5,11,6,0,6,0.003150010283716958,8.251670982280997e-14,1.1102230246251565e-16
4,5,11,7,0,7,0.003307803829014936,1.7896184613933468e-13,1.1102230246251565e-16
4,5,11,8,0,8,0.006208506135664696,3.1402292093808854e-13,2.220446049250313e-16
4,5,11,9,0,9,0.004885014809085819,5.036593759778173e-13,2.220446049250313e-16
4,5,11,10,0,10,0.0027033156352202015,5.380344668308224e-13,2.220446049250313e-16
4,5,11,11,0,11,0.0030780737999496436,4.991931765609953e-13,3.3306690738754696e-16
3,7,10,0,0,0,0.03306150073114051,,
3,7,10,1,0,1,0.03442271646865872,8.730070152037962e-16,0.0
3,7,10,2,0,2,0.02046404428923677,3.8593033980512166e-15,0.0
3,7,11,3,0,3,0.002363644740949058,1.242551266196567e-13,1.1102230246251565e-16
3,7,11,4,0,4,0.003174856181236348,1.1003351242581955e-13,1.1102230246251565e-16
3,7,11,5,0,5,0.008332029817945969,1.3465354151414682e-13,1.1102230246251565e-16
3,7,11,6,0,6,0.01531224527855625,7.908238823531145e-13,1.1102230246251565e-16
3,7,11,7,0,7,0.009268365266992814,2.7637548441348243e-13,1.1102230246251565e-16
3,7,11,8,0,8,0.007847654928662923,4.6431098138384165e-14,3.3306690738754696e-16
3,7,11,9,0,9,0.016891431867659512,1.7133178524662163e-11,0.0
3,7,11,10,0,10,0.0028000555052219048,8.11919919674999e-14,2.220446049250313e-16
3,7,11,11,0,11,0.008295220282580626,1.7780177757078058e-13,2.220446049250313e-16
2,12,11,0,0,0,0.0018628248245942105,,
2,12,11,1,0,1,0.0007125809509914699,7.799373253549031e-15,0.0
2,12,11,2,0,2,0.00027495835143818346,1.9646086788916237e-13,1.1102230246251565e-16
2,12,11,3,0,3,0.005644500217324062,9.479773945266551e-15,2.220446049250313e-16
2,12,11,4,0,4,0.0003629199762016427,9.934087689527247e-13,1.1102230246251565e-16
2,12,11,5,0,5,0.011487567607603,3.727525003446338e-13,1.1102230246251565e-16
2,12,11,6,0,6,4.286826669512842e-05,1.1707973105863456e-12,2.220446049250313e-16
2,12,11,7,0,7,0.0020701016351749955,5.6800416167661495e-14,3.3306690738754696e-16
2,12,11,8,0,8,0.0017309486291195325,3.938652938324513e-13,3.3306690738754696e-16
2,12,11,9,0,9,0.00013003251588212608,7.304392155899722e-13,1.1102230246251565e-16
2,12,11,10,0,10,0.002924496487577021,1.5576778590281702e-13,0.0
2,12,11,11,0,11,0.0007292827968449549,2.3032864707510134e-13,2.220446049250313e-16
2,12,12,12,0,12,5.436351474169996e-05,1.62291639695907e-12,2.220446049250313e-16
2,13,12,0,0,0,0.0012207874431650904,,
2,13,12,1,0,1,0.010184349589729124,2.5009543608316138e-15,1.1102230246251565e-16
2,13,12,2,0,2,0.00207169761811099,8.540048427179183e-15,0.0
2,13,12,3,0,3,0.004569748047069488,5.061293417962371e-14,0.0
2,13,12,4,0,4,0.002112217996977308,2.742647543864684e-14,0.0
2,13,12,5,0,5,0.004767436733329433,6.259923130579828e-14,0.0
2,13,12,6,0,6,0.0009594278746177336,2.642964042581047e-13,4.440892098500626e-16
2,13,12,7,0,7,0.0008618027440085898,2.9806679727256533e-13,2.220446049250313e-16
2,13,12,8,0,8,0.006093439070511549,5.51623306418018e-14,3.3306690738754696e-16
2,13,12,9,0,9,0.00010140597677065653,7.959570261081738e-13,2.220446049250313e-16
2,13,12,10,0,10,0.0009883716336550477,1.0433799907303643e-13,1.1102230246251565e-16
2,13,12,11,0,11,0.00040739818561192715,3.960821694184957e-12,1.1102230246251565e-16
2,13,12,12,0,12,0.00017052789154073066,9.371728034104424e-13,1.1102230246251565e-16
2,13,13,13,0,13,0.0022563899132687477,1.8221438454612543e-12,2.220446049250313e-16
3,8,12,0,0,0,0.011350855055384888,,
3,8,12,1,0,1,0.013200744681542333,1.613588979199631e-15,0.0
3,8,12,2,0,2,0.016614055862885193,1.179326412631526e-14,1.1102230246251565e-16
3,8,12,3,0,3,0.03677566827839279,4.706196823802281e-15,0.0
3,8,12,4,0,4,0.020910951970075965,3.005202247712798e-14,0.0
3,8,12,5,0,5,0.028425027717516562,2.085870050475474e-14,0.0
3,8,12,6,0,6,0.024396187602018744,2.1940480297491779e-13,0.0
3,8,13,7,0,7,0.001039279661810348,4.572011035355255e-12,1.1102230246251565e-16
3,8,13,8,0,8,9.2118409589009e-05,1.1594406120372164e-12,1.1102230246251565e-16
3,8,13,9,0,9,0.002996052690498111,6.9714331904793924e-12,2.220446049250313e-16
3,8,13,10,0,10,0.002456043864978099,3.961444311674329e-12,2.220446049250313e-16
3,8,13,11,0,11,0.0033852645747987882,2.1871918085888376e-13,1.1102230246251565e-16
3,8,13,12,0,12,0.002093646209057233,1.800394799330283e-11,1.1102230246251565e-16
3,8,13,13,0,13,0.003950156346180787,2.049083985712152e-12,3.3306690738754696e-16
4,6,12,0,0,0,0.028485691441718725,,
4,6,13,1,0,1,0.0022131063954921445,4.140431597585765e-15,0.0
4,6,13,2,0,2,0.00022653771355560614,1.0605863787897212e-13,1.1102230246251565e-16
4,6,13,3,0,3,0.010292183696570421,5.223146042845511e-14,0.0
4,6,13,4,0,4,0.007766943420943705,1.1134055701482805e-13,1.1102230246251565e-16
4,6,13,5,0,5,0.013855627482598542,8.000438826847267e-14,1.1102230246251565e-16
4,6,13,6,0,6,0.012748684693471374,1.110179021949475e-11,0.0
4,6,13,7,0,7,0.007145744667032349,2.2968352670907694e-12,2.220446049250313e-16
4,6,13,8,0,8,0.006678494360570864,8.586355054682778e-13,1.1102230246251565e-16
4,6,13,9,0,9,0.01228823630418685,8.088795041061178e-13,0.0
4,6,13,10,0,10,0.01763269518416259,4.652997381849737e-13,2.220446049250313e-16
4,6,13,11,0,11,0.020224133664809896,2.5125480919607697e-12,1.1102230246251565e-16
4,6,13,12,0,12,0.019895198037923986,6.823488053177771e-14,2.220446049250313e-16
4,6,13,13,0,13,0.024680655948309756,4.4512418976888556e-13,1.1102230246251565e-16
2,14,13,0,0,0,0.006530562168537457,,
2,14,13,1,0,1,0.00032230637269461775,8.562897272874418e-14,0.0
2,14,13,2,0,2,0.0016848999047921862,7.676446133433009e-15,1.1102230246251565e-16
2,14,13,3,0,3,0.004304005481432545,2.534314251707227e-14,1.1102230246251565e-16
2,14,13,4,0,4,0.0012480145705921926,2.743160148033652e-13,2.220446049250313e-16
2,14,13,5,0,5,0.012808058721237867,9.087955137663183e-14,0.0
2,14,13,6,0,6,0.010755947557388004,3.406946183207625e-14,0.0
2,14,13,7,0,7,0.0002652737708985725,1.1062219530141983e-12,3.3306690738754696e-16
