m,n,R,s,seed,ker_dim,s_val,decomp_error,w
11,,48,3,0,3,0.009093705284525334,1.457004831044588e-13,1.1102230246251565e-16
11,,48,4,0,4,0.010260479428406723,9.172452348492928e-14,3.3306690738754696e-16
11,,48,5,0,5,0.010942042116772811,3.0661377984274913e-12,4.440892098500626e-16
11,,48,6,0,6,0.011243572539087624,1.8506365556325186e-13,1.1102230246251565e-16
11,,48,7,0,7,0.006994784252734994,8.509033762293757e-13,4.440892098500626e-16
11,,48,8,0,8,0.010471097375899895,1.3790780340902685e-12,4.440892098500626e-16
11,,48,9,0,9,0.009482731877972774,5.059245892782569e-13,1.1102230246251565e-16
11,,48,10,0,10,0.009952571800232643,2.7296518936603505e-12,4.440892098500626e-16
11,,48,11,0,11,0.011926242159571368,1.2917149671984416e-12,2.220446049250313e-16
11,,48,12,0,12,0.01349389170978091,2.9593180977244496e-12,5.551115123125783e-16
11,,48,13,0,13,0.009482636034883848,1.485961420246555e-11,3.3306690738754696e-16
11,,48,14,0,14,0.009883620715191182,5.748101035447579e-12,3.3306690738754696e-16
11,,49,15,0,15,0.0003138466182282291,2.599860524169399e-11,3.3306690738754696e-16
11,,49,16,0,16,0.0006618372544174553,1.1274656267644262e-09,4.440892098500626e-16
11,,49,17,0,17,0.0002694131547169097,4.3960816969910926e-11,3.3306690738754696e-16
11,,49,18,0,18,0.0006771849089223852,2.569380961213162e-10,2.220446049250313e-16
11,,49,19,0,19,0.001035993070564415,6.768471598134736e-11,6.661338147750939e-16
11,,49,20,0,20,0.0020634935076377977,5.113442756023501e-10,3.3306690738754696e-16
11,,49,21,0,21,0.0010080537009614415,1.7479295584508758e-10,3.3306690738754696e-16
11,,49,22,0,22,0.0007292202221012685,8.522446593019618e-10,4.440892098500626e-16
11,,49,23,0,23,0.0020958681694101967,8.067815376602738e-11,5.551115123125783e-16
11,,49,24,0,24,0.0020113893257764216,4.23156223353923e-09,4.440892098500626e-16
11,,49,25,0,25,0.0025133147059074015,1.892565855833152e-11,3.3306690738754696e-16
11,,49,26,0,26,0.0028996495534675502,7.056258089727761e-10,3.3306690738754696e-16
11,,49,27,0,27,0.0021776601295554862,3.2394574029760945e-11,4.440892098500626e-16
11,,49,28,0,28,0.003144078729944919,3.0050762841188124e-11,4.440892098500626e-16
