m,n,R,s,seed,ker_dim,s_val,decomp_error,w
2,101,101,101,0,101,2.0296730531424834e-07,1.1043821254178764e-08,1.2212453270876722e-15
3,59,101,101,0,101,0.0006072833686656762,1.9345981677178282e-10,1.4432899320127035e-15
12,13,101,101,0,101,0.004185390604537941,4.844462253794467e-11,8.881784197001252e-16
2,102,102,102,0,102,2.2489282879206304e-06,1.8284137514216173e-09,1.2212453270876722e-15
4,42,102,102,0,102,0.0003802360438939728,2.0012438514905812e-10,9.992007221626409e-16
2,103,103,103,0,103,3.419890370980887e-07,7.17612732303321e-09,1.1102230246251565e-15
6,27,103,103,0,103,0.00047322844454190466,3.3412730233240635e-09,9.992007221626409e-16
5,33,103,103,0,103,0.0006697179754267742,2.6988502595735656e-10,1.4432899320127035e-15
3,60,103,103,0,103,0.00043564197509873473,5.549452804363905e-10,1.3322676295501878e-15
7,23,103,103,0,103,0.002197833394764409,1.3076968729902547e-10,7.771561172376096e-16
8,20,103,103,0,103,0.0028068305480941566,4.779287485679363e-11,1.1102230246251565e-15
2,104,104,104,0,104,1.086473714131603e-07,4.154445515994549e-09,1.3322676295501878e-15
10,16,104,104,0,104,0.001914442922527178,6.394915788528208e-10,9.992007221626409e-16
4,43,104,104,0,104,0.0011157019763565407,3.9017312684466366e-10,9.992007221626409e-16
2,105,105,105,0,105,9.497832114309074e-08,1.428946500523548e-08,1.2212453270876722e-15
3,61,105,105,0,105,0.00013304234205377624,2.325390332484281e-10,9.992007221626409e-16
9,18,105,105,0,105,0.001738668573707858,4.4373322292127467e-10,1.1102230246251565e-15
2,106,106,106,0,106,3.5001207813221114e-06,1.079313232158621e-08,1.1102230246251565e-15
5,34,106,106,0,106,0.0011350568949463446,1.4095273965322768e-10,1.2212453270876722e-15
6,28,106,106,0,106,0.0033272753391853055,2.787886482749215e-10,9.992007221626409e-16
2,107,107,107,0,107,1.3773032582748085e-06,2.1479879935379806e-09,1.2212453270876722e-15
3,62,107,107,0,107,8.710382299147676e-06,2.7151513128634035e-09,1.2212453270876722e-15
4,44,107,107,0,107,7.807326754780524e-05,7.419049606538864e-10,7.771561172376096e-16
11,15,107,107,0,107,0.003702833775839013,1.6853487200806993e-10,8.881784197001252e-16
2,108,108,108,0,108,1.8023249187750372e-07,1.4909697276369015e-08,9.992007221626409e-16
7,24,108,108,0,108,0.0006298369684310113,3.291221851292599e-10,8.881784197001252e-16
3,63,108,108,0,108,0.00023424072342326726,8.533065805232994e-11,1.2212453270876722e-15
8,21,108,108,0,108,0.0032174518453557486,1.547767895715183e-10,1.2212453270876722e-15
2,109,109,109,0,109,2.0647024711462732e-07,4.466016658952609e-09,1.1102230246251565e-15
4,45,109,109,0,109,0.0009111950641093562,6.616479271817583e-10,1.1102230246251565e-15
5,35,109,109,0,109,0.0014070083340155105,5.986291378322347e-10,1.2212453270876722e-15
2,110,110,110,0,110,7.60367735693689e-08,4.563776202540532e-08,1.2212453270876722e-15
12,14,110,110,0,110,0.0004005630940870016,1.2120204894378884e-09,9.992007221626409e-16
3,64,110,110,0,110,0.0003161719806594134,1.432385535889636e-10,9.992007221626409e-16
13,13,110,110,0,110,0.003064551055186468,3.8241092224358484e-11,1.2212453270876722e-15
6,29,110,110,0,110,0.0028049517677967237,9.640935767263831e-11,9.992007221626409e-16
2,111,111,111,0,111,4.675673950757389e-07,3.002920591130025e-09,1.2212453270876722e-15
10,17,111,111,0,111,0.0004906999123563786,4.563127957866306e-10,1.2212453270876722e-15
9,19,111,111,0,111,0.0017631197585862813,1.4348465031953316e-10,1.1102230246251565e-15
4,46,111,111,0,111,0.0014624328220081953,4.371801777893507e-10,8.881784197001252e-16
2,112,112,112,0,112,2.0112729228581478e-07,7.29285190453348e-09,9.992007221626409e-16
3,65,112,112,0,112,0.00013513986348020045,4.2227611737599817e-10,1.1102230246251565e-15
7,25,112,112,0,112,0.002293315760762272,2.7612899859514865e-10,6.661338147750939e-16
5,36,112,112,0,112,0.0020255853740964776,2.080547768549903e-10,8.881784197001252e-16
2,113,113,113,0,113,6.259609689961371e-08,2.5307117975666485e-08,1.5543122344752192e-15
3,66,113,113,0,113,0.00025837482623619997,2.4879796618592025e-10,1.5543122344752192e-15
2,114,114,114,0,114,5.396716093166432e-07,1.1287876260828212e-08,8.881784197001252e-16
8,22,114,114,0,114,0.0009647420153699134,1.4666333748465776e-10,1.1102230246251565e-15
4,47,114,114,0,114,0.0006589282569000077,2.977080532916579e-10,7.771561172376096e-16
